timestamp,total,cidr_count,unique_sni
2026-06-07 11:21:40,100,77,40
2026-06-07 13:13:28,100,78,39
2026-06-07 15:16:22,100,69,43
2026-06-07 17:01:38,100,87,40
2026-06-07 19:01:54,100,77,59
2026-06-07 20:57:20,100,75,44
2026-06-07 21:59:35,100,73,38
2026-06-07 23:04:29,100,85,36
2026-06-08 02:11:32,100,90,36
2026-06-08 07:18:58,100,94,27
2026-06-08 12:18:45,100,100,24
2026-06-08 16:41:34,100,69,42
2026-06-08 19:12:35,100,69,69
2026-06-08 21:30:32,100,63,42
2026-06-08 23:05:29,100,64,27
2026-06-09 01:49:23,100,75,62
2026-06-09 05:57:11,100,80,41
2026-06-09 09:28:42,100,73,29
2026-06-09 12:28:45,100,79,33
2026-06-09 15:48:33,100,80,39
2026-06-09 17:49:51,100,77,46
2026-06-09 19:52:16,100,73,55
2026-06-09 21:27:11,100,82,40
2026-06-09 23:07:25,100,100,14
2026-06-10 02:00:16,100,83,45
2026-06-10 06:55:08,100,88,25
2026-06-10 10:45:49,100,83,39
2026-06-10 14:13:47,100,78,39
2026-06-10 17:48:02,100,89,38
2026-06-10 20:04:10,100,76,33
2026-06-10 22:45:09,100,64,45
2026-06-11 00:06:11,100,64,45
2026-06-11 05:17:47,100,91,25
2026-06-11 09:59:08,100,63,58
2026-06-11 13:58:08,100,73,40
2026-06-11 17:35:03,100,93,23
2026-06-11 20:05:34,100,93,32
2026-06-11 22:44:47,100,73,40
2026-06-12 00:12:04,100,79,53
2026-06-12 05:23:18,100,74,62
2026-06-12 09:51:23,100,82,31
2026-06-12 12:46:24,100,83,48
2026-06-12 16:09:25,100,72,45
2026-06-12 18:55:38,100,66,29
2026-06-12 20:58:44,100,70,36
2026-06-12 22:23:06,100,99,23
2026-06-13 00:10:39,100,88,41
2026-06-13 05:12:18,100,91,24
2026-06-13 08:42:50,100,84,28
2026-06-13 11:06:50,100,71,41
2026-06-13 13:17:36,100,73,65
2026-06-13 15:23:37,100,81,41
2026-06-13 17:06:05,100,77,58
2026-06-13 19:03:05,100,73,63
2026-06-13 20:58:58,100,69,67
2026-06-13 22:01:29,100,92,24
2026-06-13 23:54:56,100,74,25
2026-06-14 02:10:06,100,70,12
2026-06-14 07:12:23,100,100,12
2026-06-14 10:41:41,100,80,48
2026-06-14 12:30:54,100,70,13
2026-06-14 15:02:29,100,89,37
2026-06-14 17:05:19,100,79,45
2026-06-14 19:03:32,100,70,38
2026-06-14 20:56:35,100,66,62
2026-06-14 22:02:36,100,80,43
2026-06-14 23:57:59,100,67,43
2026-06-15 03:39:28,100,87,30
2026-06-15 09:48:59,100,93,25
2026-06-15 15:34:08,100,92,35
2026-06-15 19:35:52,100,79,43
2026-06-15 22:07:39,100,100,18
2026-06-16 00:20:05,100,89,39
2026-06-16 06:20:00,100,96,21
2026-06-16 11:59:33,100,98,24
2026-06-16 16:50:23,100,81,49
2026-06-16 20:00:08,100,70,45
2026-06-16 22:12:08,100,85,36
2026-06-17 00:06:54,100,51,39
2026-06-17 05:55:37,100,67,40
2026-06-17 10:22:48,100,82,32
2026-06-17 14:21:24,100,73,52
